id,framework,year,title,body_excerpt,github_url,v1_1_label,v1_1_rationale
LLMI-003,llamaindex,2023,Cost of building and querying each index TODO,"closed completed Jul 26 2023 by @Disiok with documentation pointer to TokenCountingHandler. Earliest documented cost-tracking gap in LlamaIndex (cited ""TODO"" from reference docs). Same era as AGPT-001/002. Adds LlamaIndex (run-llama/llama_index) to the catalog. Maintainer @logan-markewich answered followup questions about default embedding model (text-ada-002, $0.0004/1k).",#1070,,
MAST-002,mastra,2025,Token / Cost Usage Tracking?,"closed completed Jul 30 2025 by Member @wardpeet citing https://mastra.ai/blog/nested-streaming-support and forthcoming docs. Filed by Member @abhiaiyer91 himself on behalf of Discord user. Quotable: ""Pre Mastra, I built a basic cost logger that tracked the token usage results from OpenAI calls. Would be great to have something like that embedded into Mastra... Ideally, it would be possible to attribute token usage to some kind of (user) identifier."" Tagged Agents + p:high. Critical follow-up by @KeyCode17 (Aug 1 2025): the fix exposes completionTokens/promptTokens/totalTokens but NOT cost-in-dollars. Cited OpenRouter response format which exposes a cost field directly with cost/cost_details/upstream_inference_cost. Quotable: ""I think cost is more readable to human because it is straight into currency right?"" Issue stayed closed despite incomplete-fix critique. Pattern matches ATGN-010 RequestUsage-missing-cost-field (also OPEN, also tokens-but-no-dollars distinction). First Mastra entry in M-cost-observability cluster. Strengthens cross-framework maintainer-files-own-request pattern (now 4 cases): ATGN-006 by @ekzhu, ATGN-009 by @fniedtner (Microsoft), GPTE-003 by @AntonOsika, MAST-002 by @abhiaiyer91 (Mastra Member). Token-vs-cost gap is structurally consistent: tokens are easy to expose at SDK level; cost requires pricing tables that go stale (cf LANG-005 standardize_model_name on o3, ATGN-008 _MODEL_TOKEN_LIMITS KeyError on llama3.3:latest).",#5703,,
MAST-003,mastra,2025,[FEATURE] Track token usage across agent network iterations,"closed completed Nov 3 2025 by @taofeeq-deru via PR #9649 (commit 1521d71). Filed by Contributor @rase- on Oct 20 2025. Body: ""Currently, the individual steps in an agent network have their usages reported through nested events. However, there is no overarching usage tracking. Add usage data into existing agent network events, most likely these should live in the step finish events."" Tagged enhancement + p:high + trio-tnt. Self-assigned then reassigned to @taofeeq-deru on Oct 24 2025; PR merged ~10 days later. Distinct M-cost-observability sub-mechanism from MAST-002: agent-network-iteration-level rollup (nested events not summed) vs framework-level token tracking (entirely missing). Parallels AutoGen sub-mechanism stratification: ATGN-006 TaskResult-level, ATGN-008 model-table-level, ATGN-009 v0.4-regression-overall, ATGN-010 RequestUsage-missing-cost-field -- different layers of the same observability stack. Mastra is now the third framework with multiple cost-observability sub-mechanism rows: LangChain has LANG-006/007/008/010 (4 rows), AutoGen has ATGN-006/008/009/010 (4 rows), Mastra has MAST-002/003 (2 rows). Strengthens cross-framework architectural-pattern claim that cost-observability gaps are not framework-specific.",#9016,,
MAST-005,mastra,2025,maxOutputTokens quits agentic loop if max output tokens reached at a particular step,"UPGRADED from SKIPPED in v22-batch-26 revision per codebook section 10. Original triage skipped as S5 (user-found-existing-feature) but new evidence-deepening (Discord-source verbatim quotes, trace evidence, primitive-exists-but-only-via-callback-closure sub-mechanism framing) recharacterizes as fr-shape M-budget-primitive-missing case. CLOSED Dec 31 2025 by Member @roaminro as completed -- via stopWhen-callback workaround NOT first-class config field. Filed Dec 19 2025 by @daneatmastra (Mastra Contributor, Discord-sync-bot mirroring user post). REPORTER ORIGINAL DISCORD-SOURCED QUOTE (verbatim from @arielweinberger Dec 18 Discord post 1451303997465166167): ""We have an agentic loop with maxSteps 20. We also have agent.stream(..., { modelSettings: { maxOutputTokens: 5000 } }... we see in our traces that one of the steps reached its output token limit... my understanding is that this setting is at the LLM request level (stop). we have found no way to limit the total output tokens for the entire agentic loop, is there one? That would be our preferred option over setting it at the modelSettings level."" CONCRETE TRACE EVIDENCE: stepIndex 3 hit outputTokens 5000 with finishReason: length AND inputTokens: 1 (only 1 input token in iter 3 means this is mid-loop continuation). MAINTAINER WORKAROUND VIA STOPWHEN-CALLBACK NOT FIRST-CLASS CONFIG: @roaminro (Member) Dec 19 (via Discord, mirrored Dec 20 to issue) provided stopWhen callback closure -- ""For a loop level limiter, you could maybe use stopWhen, something like this: stopWhen: ({ steps }) => { const totalOutputTokens = steps.reduce((sum, step) => sum + (step.usage.outputTokens || 0), 0); return totalOutputTokens >= 100000; }"". Reporter @arielweinberger Dec 19 acknowledgement: ""okay, we have not tried that. that seems like the solution."" MULTI-USER INTEREST: @suhas_deshpande Dec 18 Discord: ""Also curious about this."" DISCORD-AS-SOURCE-OF-TRUTH PATTERN: All technical exchange happened on Discord (channel 1309558646228779139); issue is Discord-mirror via daneatmastra automated sync. Documents Mastra primary support venue (Discord) being where actual problem-solving happens, with issues serving as artifact-only mirrors. POST-CLOSURE 7-WEEK-LATER FOLLOW-UP COMMIT: @mathemusician Feb 23 2026 commit e2f8649 ""Increase maxOutputTokens to 8000 to fix truncation issue"" -- separate-but-related (default cap too low for many use cases). NEW SUB-MECHANISM within M-budget-primitive-missing: primitive-exists-but-only-via-callback-closure (Mastra has stopWhen primitive that CAN do aggregate-budget-enforcement via user-written reduce + threshold-check, but no declarative maxTotalOutputTokens config field at agent.stream() level -- requires user to write closure correctly each time, error-prone vs first-class field). Distinct from SMAG-005 primitive-doesnt-exist, MAST-004 primitive-only-runs-at-memory-retrieval, CRAI-011 primitive-exists-but-broken-via-silent-regression. REVISION TRANSPARENCY NOTE: original S5 skip was correct on narrow reading; updated retention reflects evidence-deepening. Methodology trail preserved.",#11273,,
MAST-009,mastra,2025,[FEATURE] Add support for providerOptions (e.g. cache control) when defining tools,"closed completed Nov 29 2025 (~5 week resolution) via PR #10649 by Member @abhiaiyer91 (commit d6ce671). Filed Oct 21 2025 by @diegoarda. Tagged enhancement + Tools. Cost-optimization framing throughout: ""Having this flexibility is useful to optimize latency, cost, and correctness depending on the tool purpose"" and proposed Mastra-internal forwarding of providerOptions including {anthropic: {cacheControl: {type: ephemeral}}} from tool definitions to underlying model calls. CRITICAL post-merge regression report by @Prince-Mendiratta (Jan 23 2026): ""this does not seem to be working? I am on v1"" with full weatherAgent config showing both thinking budget_tokens: 32000 and cacheControl: {type: ephemeral} in defaultOptions.providerOptions.anthropic block. No maintainer reply at fetch time. Pattern: cost-control feature shipped, then breaks during major version bump (v1) -- parallels ATGN-009 (v0.2 -> v0.4 cost-observability regression). M-cost-feature-gap cluster expansion: Mastra second fr-shaped cost-control row (MAST-002 cost-tracking, MAST-009 cache-control), parallel to AIDR-009 (/compact manual cost-control). Cross-framework cost-feature-gap cluster: AGPT-001/002, AIDR-009, NANO-001, MAST-002, MAST-009 -- n=5 paper-tagged cases across 5 frameworks/years.",#9068,,
MAST-021,mastra,2025,Storage-backed image/file attachments,"with WONTFIX-WITH-PROMISED-DIFFERENT-SOLUTION pattern + TRIAGE-PRIORITY-WHIPLASH (NEW). Filed Sep 2 2025 by @FatRicePaddyyyy tagged enhancement + Mastra Server. CLOSED Nov 27 2025 by Member @abhiaiyer91 as completed: ""We will be adding a filesystem toolset in the new year with that you can bring a file storage provider. Closing this as the solution will be a lot different than proposed."" NEW closure sub-shape (25th in taxonomy): closed-as-completed-but-different-solution-promised (distinct from MAST-004 closed-as-wontfix-with-promised-future-feature because here the closure status is ""completed"" implying resolution, while resolution is actually ""we will do something completely different""). Reporter cost-impact paper-quotable: ""Base64 incurs ~33% size overhead, inflating DB/storage and costs. Public URLs are awkward for access control and revocation."" Reporter architectural framing: ""Store images/binaries in private object storage (Cloudflare R2 / AWS S3, etc.) and keep only a storage key in the conversation history. Right before send, resolve the key to bytes or a short-lived signed URL inside Mastra."" Reporter ARCHITECTURE-LEVEL design proposal includes: (1) StorageKey type with object form { storage: r2/s3/gcs, bucket, key } or scheme form r2://bucket/key; (2) AssetResolver pluggable hook with canResolve()/resolve() interface; (3) ResolvedAsset return type with kind: bytes|url + expiresAt for signed URLs. NEW PATTERN: TRIAGE-PRIORITY-WHIPLASH: Member @abhiaiyer91 Sep 2 2025 added p:high label same-day. Then @abhiaiyer91 same-day removed p:high, added p:medium + p:low (THREE priority changes within one day) -- maintainer-priority-shifting pattern documented. Multi-user signal weak: @buildgreatthings Sep 5 +1 this -- only one external upvote. CROSS-REFERENCES MAST-004 closed-as-wontfix-with-promised-future-feature pattern. closed-with-promise-of-different-solution variant pattern at n=2 in Mastra catalog. Sub-mechanism within M-multimodal-cost-amplification: base64-overhead-without-storage-key-resolution-architecture. Companion fr to MAST-020 architectural fix (MAST-020 fixes URL-preserved-when-supported case; MAST-021 proposes deeper architectural fix for storage-key resolution). Two-row pattern: framework-fixes-tactical-issue-but-defers-deeper-architectural-fix. Adds 2nd Mastra multi-modal entry.",#7253,,
NANO-001,nanobot,2026,Tool-loop cost roadmap; max_iterations doesn't cap spend,max_cost_per_message proposal,#2318,,
PYAI-002,pydantic-ai,2026,Automatic tool budget reminders via ToolReturn.content,"STRONGEST SINGLE QUOTE IN ARCHAEOLOGY EFFORT. OPEN at fetch tagged feature + capability-solveable. Filed Feb 19 2026 by @sarth6 (Contributor). PAPER-QUOTABLE OPENING SENTENCE: ""UsageLimits(tool_calls_limit=N) is a kill switch. The model has no idea it is running low on tool calls until the hard cap fires UsageLimitExceeded and the entire run dies, often after the model already did useful work."" CONCRETE BATCH-REJECTION-CLIFF EVIDENCE: ""The hard cap checks at batch level. check_before_tool_call computes current + batch_size and rejects the entire batch if it would exceed the limit. Model requests 10 parallel calls with a limit of 6 -> all 10 rejected, zero execute."" Reporter provides 3 detailed workarounds with each failure-mode characterized: (1) Dynamic @agent.instructions reading ctx.usage.tool_calls -- ""puts the budget count in the wrong place. instructions maps to system_instruction in the Google API and {role: system} in OpenAI. That is the top of the context, before the model has read through any of the conversation history containing those tool calls. It is like putting page 8 of 10 in the header of page 1."" + busts prompt cache; (2) tool return value pollution -- ""pollutes the tool return schema. Instead of getting [...] directly, the model has to dig into {results: [...], remaining_budget: 5}. Every consumer of the tool type has to unwrap the wrapper""; (3) Manual ToolReturn.content -- ""right position in the conversation. But it requires every tool author to manually track call counts, compute remaining budget, and format the reminder. If you have 5 tools, you are writing the same bookkeeping code 5 times."" MAINTAINER ACTIVE ENGAGEMENT: Member @adtyavrdhn Feb 19 proposed @agent.on_tool_results hook abstraction. Collaborator @DouweM Mar 5: ""This sounds like a good candidate for a hooks-based Capability once #2885 lands as part of #4303."" Member @adtyavrdhn Mar 5: ""Yep once middleware capabilities lands we will be able to close off a lot of these in one go."" Reporter @sarth6 Mar 5 acknowledged: ""Sounds good, I will work on a temporary package for now with the goal of deprecating it once that launches."" AUTHOR-SHIPPED-EXTERNAL-PACKAGE: @sarth6 Mar 5 commit ff82bf9 + Mar 11 published pypi.org/project/pydantic-ai-tool-budget. External-package-as-de-facto-fix pattern at n=3 (parallels SMAG-002 + LANG-028). Cross-references: PR #3691 ToolPolicy + issue #2593 (tool_calls_limit recently merged) + issue #843 (closed original limit-tool-calls request). PROMOTIONAL-COMMENT-PATTERN at n=3: @fjnunezp75 Mar 15 GPU-Bridge service spam (after MAST-017 Agenium + CRAI-011 agentic-qa-api). Sub-mechanism within M-budget-primitive-missing: primitive-exists-but-only-as-hard-cliff-without-graceful-degradation-or-budget-awareness. Cross-ref to OAAS-002 same batch confirming SAME architectural pattern in OpenAI Agents SDK -- DUAL-PATH PROOF for hard-cliff-without-graceful-degradation variant. Strongest paper-quotable sentence: kill switch... the entire run dies.",#4359,,
PYAI-005,pydantic-ai,2026,Feature Request: First-class Context Compaction API,feature_request. Reporter framing: 'Tool-heavy agents in production environments can [cause cost explosion]' -- explicit context-amplification incident with detailed API proposal for first-class compaction. CLOSED Apr 2026 by maintainer @DouweM deferring to two-pronged userland solution: (1) new 'capabilities' feature with lifecycle hooks (prerequisite PRs #2885 + #4303); (2) third-party VStorm summarization package. PUNT-TO-USERLAND closure pattern. Maintainer @DouweM Apr 2026: framework will NOT ship first-class compaction; users must compose hooks + external packages. Cross-references PYAI-007 (#4538) as PREREQUISITE: context_window primitive on ModelProfile needed before compaction logic can be threaded. Sub-mechanism within M-context-amplification: runtime-loop-level compaction-deferred-to-userland-hooks-plus-external-package. PUNT-TO-USERLAND closure pattern is the 18th closure sub-shape in catalog -- distinct from punt-to-spec (PYAI-003) and punt-to-vendor (CRAI-014).,#4137,,
SMAG-001,smolagents,2025,Getting Token Usage as part of the Final Answer,"closed Mar 19 2025 completed by Member @albertvillanova: ""You can have that information from the agent.monitor."" Filed Feb 8 2025 by @mattmarcin tagged enhancement. CRITICAL TWO-PART REQUEST: reporter asked for ""the used input and output token count or even actual API usage expense"" -- part 1 (token counts) addressed by existing Monitor class which closes as completed; part 2 (dollar cost / actual API usage expense) silently unaddressed. Reporter explicit cost framing: ""Being able to get usage/cost data from API calls would help from a business perspective to track cost of execution and aid in iterating on agents to lower costs."" @jonha892 Feb 26 2025 ADDITIONAL GAP DOCUMENTATION: ""Providers like openai, gemini, and anthropic use caching to automatically optimize costs. This is not tracked in this library."" -- second Monitor gap (cached token tracking) noted but not in closure scope. Sub-mechanism: token-vs-dollar-asymmetry within M-cost-observability cluster. DIRECT PARALLEL to MAST-002 (Mastra), ATGN-006 + ATGN-009 + ATGN-010 (Microsoft AutoGen), GPTE-003 (gpt-engineer), DSPY-002 (DSPy). STRENGTHENS cross-framework cluster to n=6 across 6 frameworks. FIRST SMOLAGENTS ENTRY in catalog. Closed-as-resolved-by-pointing-to-partial-feature pattern: borderline S5 retained on cluster-fit consistency (parallels MAST-002 retain decision on same closure shape).",#559,,
SMAG-002,smolagents,2025,Agent memory/history consolidation after a number of interactions,"OPEN at fetch (13+ months) despite multiple PRs in flight and active community engagement. Filed Mar 6 2025 by @nikos-kal tagged enhancement. EXPLICIT COST FRAMING: ""The management of memory, thus context size, is important because it translates limitations in terms of cost, speed, model choice etc. Other agentic LLM applications like Claude Code deal with this by summarizing the context every few steps or remembering only a limited history."" Reporter cited Claude Code architecture as reference. Reporter Mar 10 self-discovered PARTIAL WORKAROUND via step_callbacks (existing feature can do post-step cleanup but not first-class memory_size config). MULTIPLE COMMUNITY PROPOSALS: @Symbolk (Contributor) Mar 17 2025 suggested mem0 integration; @nikos-kal Mar 18 countered: ""We still need an easy memory_size configuration in smolagents though because even if you switch to mem0, smolagents would still internally keep their own memory."" @ChristianWeyer Mar 26 2025: ""So, pluggable memory is on the way @nikos-kal?"" -- waiting on resolution. FORK-BASED IMPLEMENTATION PATTERN: @joaopauloschuler (Contributor) Mar 11 2026 implemented in own fork: ""In my own fork, I implemented it"" -- fork-based-implementation-not-merged-upstream signal-class (NEW closure sub-shape, distinct from LANG-022 stuck-open-with-multiple-PRs because here contributor does not attempt upstream merge). RECENT PRs: @agent-morrow Mar 29 2026 cross-referenced #2129; @saslifat-gif Apr 3 2026 PR #2153 ""feat: add max_context_chars parameter for automatic memory truncation."" Sub-mechanism: M-context-amplification at agent-step-loop runtime level. DISTINCT FROM DSPY-001/DSPY-003 (optimizer-compile-time amplification at MIPROv2 batch-summary and bootstrap-demo steps respectively) -- here it is runtime-iteration-amplification at MultiStepAgent.run() level. ESTABLISHES M-CONTEXT-AMPLIFICATION AT TWO ARCHITECTURAL LEVELS: compile-time (DSPy optimizers) AND runtime (smolagents agent steps). Cluster expands from dspy-architecture-specific (n=2) to architecture-class with 2 sub-classes (n=3 across 2 frameworks).",#901,,
SMAG-004,smolagents,2025,Is there a step timeout feature?,"OPEN at fetch tagged bug. Filed Apr 2 2025 by @forest-snow with concrete benchmark context: Haiku 3.5 (code agent) on smolagents benchmark MATH subset using LiteLLM and Bedrock, ""often take much time because the model may write a brute-force code snippet and it takes a while to execute a step (>500 seconds)."" REPORTER EXPLICIT GAP-IN-EXISTING-CONTROLS: ""While there is a MAX OPERATIONS for the local python executor, it did not seem to help fix this issue."" -- MAX_OPERATIONS counts AST operations not wall-clock time, leaving wall-clock-runaway uncontrolled. ACTIVE MAINTAINER ENGAGEMENT: @aymeric-roucher (Collaborator) Apr 4 2025 asked for minimal repro isolated to python executor: ""Could you provide a code snippet that involves, not the full agent and LLM, but only the python executor with the faulty code?"" COMMUNITY CONFIRMATION 4 months later: @heckfy88 Aug 22 2025 confirmed mechanism with concrete repro suggestion: ""it is the default LocalPythonExecutor, it does not have a timeout arg, so every tool call is limited by, I think, 300s, after that is timeout exception. To reproduce it just call a tool that has time.sleep(1000)."" @coderabbitai 3 weeks before fetch cross-referenced langflow PR #12713. Sub-mechanism: per-step-wall-clock-runaway during code execution. CLASSIFICATION NOTE: candidate cluster fit is contested. Original triage assigned to M-retry-loop as wall-clock variant. Alternative classification: this fits with MAST-014 (OM observer-LLM blocking 148s, ephemeral-token-counting) as wall-clock-amplification-inside-agent-loop -- distinct mechanism class from HTTP-retry-on-error (LANG-024/025/026/027 + MAST-007/016 are all HTTP-retry mechanisms; SMAG-004 is Python-executor wall-clock). Candidate new cluster M-execution-time-runaway with MAST-014 (n=2 across 2 frameworks, below codebook section 10 n=3 threshold to elevate to own M-category in v1.1). For v23 retention: classify as wall-clock-amplification-candidate, do not absorb into M-retry-loop. [v23 IRR adjudication: retagged bu->fr per second-rater agreement; original tag bu by Sajjad, codebook v1.1 will tighten bu/fr boundary on interrogative-feature-gap titles.]",#1129,,
