issue_id,framework,short_url,title,rater_b_cluster,rater_b_note
CRAI-006,crewai,#933,Token Usage Metrics for Each Task,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
DSPY-004,dspy,#8416,Token Tracking Issue - Bedrock with Streamified Predict,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
CCDE-001,claude-code,#9579,Autocompacting Loop Causing Massive Token Usage Spikes,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
AIDR-006,aider,#3803,"DeepSeek R1 thinking in thousands of tokens, cannot limit",M-budget-primitive-missing,"overridden; A=providerOptions-silently-dropped; B=M-budget-primitive-missing; C=providerOptions-silently-dropped; correct=M-budget-primitive-missing"
LANG-032,langchain,#22636,langchain-openai - max_tokens - 2 confirmed bugs,M-budget-primitive-missing,majority; A=M-budget-primitive-missing; B=M-budget-primitive-missing; C=M-budget-primitive-missing
CRAI-012,crewai,#2464,CrewAI ChromaDB Embedding Dimension Mismatch Issue,M-storage-amplification,majority; A=M-storage-amplification; B=M-storage-amplification; C=M-storage-amplification
LANG-006,langsmith,#2085,Token count and cost incorrectly display as 0,M-cost-observability,majority; A=M-cost-observability; B=M-budget-primitive-missing; C=M-cost-observability
LLMI-005,llamaindex,#13992,LanceDBVectorStore database size blows up on creation,M-storage-amplification,majority; A=M-storage-amplification; B=M-storage-amplification; C=M-storage-amplification
ATGN-019,autogen,#1464,GroupChat keeps calling all the available agent and does not stop even after output from one agent is generated,M-delegation-fanout,majority; A=M-delegation-fanout; B=M-delegation-fanout; C=M-delegation-fanout
LANG-014,langchain,#9717,Langchain QA over large documents results in Rate limit errors,M-delegation-fanout,majority; A=M-delegation-fanout; B=M-retry-loop; C=M-delegation-fanout
MAST-016,mastra,#5715,Does new workflows have same retry logic as legacy workflows?,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
LANG-037,langchain,#32252,LangChain-OpenAI raises error due to null choices when using vLLM OpenAI-compatible API,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=providerOptions-silently-dropped; C=providerOptions-silently-dropped
PYAI-002,pydantic-ai,#4359,Automatic tool budget reminders via ToolReturn.content,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-budget-primitive-missing
ATGN-002,autogen,#5317,Infinite loop in quick start sample with additional agent,M-delegation-fanout,majority; A=M-delegation-fanout; B=M-delegation-fanout; C=M-delegation-fanout
MAST-023,mastra,#10154,Cannot send base64 images to Gemini in Mastra v1.0 Beta,providerOptions-silently-dropped,majority; A=providerOptions-silently-dropped; B=M-context-amplification; C=providerOptions-silently-dropped
ATGN-007,autogen,#175,We Need a Token Count,M-cost-observability,majority; A=M-cost-observability; B=M-budget-primitive-missing; C=M-cost-observability
LLMI-003,llamaindex,#1070,Cost of building and querying each index TODO,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
GPTE-002,gpt-engineer,#114,"Specifications repeating, consuming many tokens",M-context-amplification,majority; A=M-context-amplification; B=M-cost-observability; C=M-context-amplification
NANO-001,nanobot,#2318,Tool-loop cost roadmap; max_iterations doesn't cap spend,M-retry-loop,"overridden; correct=M-retry-loop (runaway retry loop caused by finish_reason=""length"", burning $0.91 in 6 consecutive failed attempts)"
LANG-030,langchain,#30429,core: incorrect token count (usage_metadata) in streaming mode,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
LANG-005,langchain,#30795,Total cost calculation possible bug with o3-mini,M-cost-observability,majority; A=M-cost-observability; B=M-cost-observability; C=M-cost-observability
ATGN-003,autogen,#5831,Infinite loop in swarm with human dialogue,M-retry-loop,majority; A=M-retry-loop; B=M-retry-loop; C=M-retry-loop
CRAI-010,crewai,#4783,Hierarchical process delegation fails - manager agents cannot delegate to worker agents,M-delegation-fanout,manual; delegation failure in hierarchical process
