issue_id,framework,date,short_url,title,prevented_at_compile_time,user_dollar_loss,notes,label
LANG-011,langchain,2023-10,#11347,Conversational Chain Error 429,,,"SKIPPED for paper after URL verification (S6 rate-limit-not-budget). Filed Oct 3 2023 by @harchyboy; auto-stale-closed by dosubot Feb 10 2024 with no fix. Reporter hits OpenAI 10KTPM rate limit when using ConversationChain but not bare LLMChain. Contributor @sudranga speculates memory-type summarization may make additional LLM calls (a plausible amplification hypothesis) but nobody quantifies token counts, documents billing impact, or verifies the theory. No dollar evidence (A.1 fail), no specific mechanism with amplification factor (A.2 fail), no quotable maintainer classification statement (A.3 fail). The codebook S6 line: pure rate-limit issue without a documented cost-amplification mechanism.",S6
LANG-012,langchain,2024-05,#22241,429 Resource Exhausted with gemini-1.5-pro,,,"paper:bu; closed completed Nov 11 2025 by @mdrxy after 18-month thread; partial fix later in PR by @IrakliGLD Dec 10 2025 (""Reduce LangChain retry attempts from 6 to 2 to prevent quota exhaustion""). Filed May 28 2024 by @sidagarwal04 against gemini-1.5-pro. Reporter saw retry attempts every 2/4/8/16/32 seconds when API call ""was made only twice""; LangChain tenacity-based retry decorator re-sending full prompt context on each Google 429. Critical user @vipulchaudhary1601 quote (Jul 8 2025): ""I am seeing 5-10 request to be sent to gemini for mine one call of .invok and token are getting used without producing any output."" Maintainer @mdrxy classified as upstream: ""As I read it, this is a Google issue, not a LangChain issue."" Yet the IrakliGLD fix the next month explicitly reduces LangChain-side retry attempts (6 -> 2), confirming the amplification was LangChain-side. Documented amplification factor 5-10x per .invoke call. Strongest M-rate-limit-amplification case after AIDR-003.",bu
LANG-013,langgraph,2025-08,#6027,Node Retry Policies not respected on ValidationError,,,paper:bu; closed by @casparb Sep 9 2025 with documentation pointer rather than framework fix. Subtle silent failure: RetryPolicy() does NOT retry on Pydantic ValidationError (which is a ValueError subclass) by default. Workaround requires explicit RetryPolicy(retry_on=ValidationError). Default behavior unchanged. Follow-up #6574 (Gemini MALFORMED_FUNCTION_CALL silent termination) suggests silent-failure pattern recurs.,bu
LANG-014,langchain,2023-08,#9717,Langchain QA over large documents results in Rate limit errors,,,"paper:bu; closed by reporter @gourao Aug 29 2023 with ""Found a different way to accomplish this"" -- never shared the workaround despite multiple followup requests from @Wesleystormrage and @afedotov-align. Issue references 5+ related rate-limit issues (#11155, #11500, #11657, #11907, #12712, #12986). Documents 2023-era rate-limit-retry pattern in LangChain QA pipeline. dosubot suggested batch_size=5 workaround. Framework did not ship rate-limit handling.",bu
LANG-015,langgraph,2025-06,#4927,Agent timeout causes error,,,"SKIPPED for paper after URL verification (S1 wrong-failure-class). Filed Jun 3 2025 by @JiayuChen02; closed Jun 4 2025 (next day) by @nfcampos via PR #4950. Bug: setting supervisor_agent.step_timeout=180 in multi-agent LangGraph supervisor causes ParentCommand/GraphInterrupt exceptions to bubble up incorrectly through pregel/runner.py. Stack trace shows usage_metadata correctly threaded (107 total tokens, in/out tracked precisely): cost accounting was working fine; bug is purely in error-propagation through the Pregel executor. Title sounds budget-relevant (timeout = runaway prevention) but mechanistically it is an exception-propagation bug, not a cost-amplification or budget-mechanism failure. No cost evidence (A.1 fail), no documented amplification (A.2 fail), no maintainer classification statement (A.3 fail).",S1
LANG-016,langchain,2024-08,#25309,No notification when exceeding Anthropic rate limit,,,"paper:bu; auto-stale-closed by dosubot Dec 6 2024 with no fix. Filed Aug 12 2024 by @albint3r against ChatAnthropic. Reporter documents the application silently hangs (no exception, no timeout) after exceeding Anthropic 40k tokens/minute limit, requiring server restart. Reproduces locally, ruled out NGINX. Collaborator @eyurtsev acknowledged and pointed to manual rate-limiter workaround: ""Are you seeing any useful messages from the underlying client or from anthropic? You can avoid the issue partially by specifying a rate limiter."" Reporter @albint3r confirms server hangs with no error: ""it occurs silently and leaves the server waiting indefinitely."" Multiple users (@simoroma) confirm same pattern through 2025. Different M-rate-limit-amplification subclass than LANG-012: silent-hang on rate-hit rather than loud-retry-storm. Reporter later memory-leak hypothesis (Jan 2025) is speculative; retention rests on reproducibility and maintainer hands-off framing.",bu
ATGN-001,autogen,2023-10,#108,"Infinite loops with gpt4, OpenAI rate limit triggered",,,"SKIPPED for paper after URL verification (S2 duplicate-of-existing). Filed Oct 5 2023 by @adriangalilea; closed Oct 9 2023 by @LittleLittleCloud after providing workaround. Same root mechanism as paper-tagged ATGN-002: termination-check failure causing default-auto-reply loop with rate limit consequences. Root cause: is_termination_msg lambda used exact match while assistant emitted ""...TERMINATE"" or ""Terminate""; admin agent without llm_config used default_auto_reply="""" (empty string) causing ""USING AUTO REPLY... admin (to chat_manager): [empty]"" loop until 40k TPM rate limit hit. Workaround: set default_auto_reply=""TERMINATE"" and is_termination_msg=lambda x: x[content]==TERMINATE. ATGN-002 holds the AutoGen-cascading-loop slot in the catalog; this is the earlier instance of the same pattern.",S2
ATGN-002,autogen,2025-02,#5317,Infinite loop in quick start sample with additional agent,,,"paper:bu; closed by reporter Feb 4 2025. Maintainer ekzhu response: ""Interesting attempt to break the example :)"" classified the cascading-message behavior as inherent to default subscriptions, provided documentation workaround using separate topics; framework was NOT patched. First AutoGen entry in catalog.",bu
ATGN-003,autogen,2025-03,#5831,Infinite loop in swarm with human dialogue,,,"paper:mf; converted to discussion #5869 by @ekzhu Mar 7 2025 (effectively closed without fix). Maintainer response to swarm infinite-loop: ""It is because the model could not generate a tool call for handing off to the user [...] No magic here."" Multiple users (@toughnoah) report the same with gpt-4o and qwen-max. Strengthens the by-design pattern; second AutoGen entry parallel to ATGN-001.",mf
ATGN-004,autogen,2023-10,#198,Token limit and rate per minute limit errors in framework demo notebooks,,,"paper:bu; UPGRADED from SKIPPED in v22-batch-24 revision per codebook section 10. Original triage skipped as S6 (rate-limit-not-budget) but new cross-reference evidence from ATGN-018 (#1070) recharacterizes the rate-limit and context-overflow errors as concrete user-impact of the architectural cost amplification mechanism @afourney explicitly documents. AUTO-STALE-CLOSED at 8.5 months by Collaborator @thinkall Jun 18 2024: ""We are closing this issue due to inactivity; please reopen if the problem persists."" Filed Oct 4 2023 by @jkf87 (transferred from microsoft/FLAML Oct 11 2023 by @sonichi). TWO CONCRETE FRAMEWORK-SHIPPED-EXAMPLE FAILURES IN ONE ISSUE: (1) ""Rate limit reached for default-gpt-4 in organization on tokens per min. Limit: 40000 / min. Please try again in 1ms."" running notebook/autogen_agentchat_groupchat_research.ipynb -- official multi-agent research notebook hits 40K tokens/minute rate limit on gpt-4. (2) ""InvalidRequestError: This model maximum context length is 8192 tokens. However, your messages resulted in 9297 tokens."" running notebook/agentchat_teaching.ipynb -- official teaching notebook overflows gpt-4 8192-token context window by 1100+ tokens. Sub-mechanism: framework-shipped-multi-agent-example-overflows-context-window + rate-limit (per @afourney ATGN-018 explanation: GroupChat broadcasts entire history to all agents = super-linear cost growth that exceeds context windows). Documents M-delegation-fanout x M-context-amplification intersection at framework-example level. Cross-references ATGN-018 (architectural cost amplification) and ATGN-019 (fanout-no-stop) -- this row demonstrates concrete user-impact of those mechanisms in framework own demo notebooks. REVISION TRANSPARENCY NOTE: original S6 skip was correct on narrow rate-limit reading; updated retention reflects mechanism-coherence with cross-referenced architectural evidence. Methodology trail preserved.",S6
ATGN-005,autogen,2023-10,#156,Roadmap for handling context overflow,,,"paper:fr; closed completed Mar 14 2024 by @yiranwu0 when several PRs (#131, #421, #443, #497) merged. 2023-era AutoGen roadmap parallel to AGPT-001/002. Documentation pointer (microsoft.github.io/autogen/docs/topics/long_contexts) cited Apr 2024 by @ekzhu became 404 by Sep 2025 after AutoGen v0.4 rewrite, with user @reski-rukmantiyo asking ""how to solve this?"" Pattern: shipped-then-bit-rotted via rewrite. Third AutoGen entry; oldest 2023 issue showing context-overflow as a known concern across frameworks.",fr
ATGN-006,autogen,2024-12,#4719,Token usage and latency metrics in TaskResult,,,"paper:fr; OPEN as of Feb 2025. Filed Dec 16 2024 by lead maintainer @ekzhu himself. Documents specific cost-observability gap in autogen-agentchat 0.4 architecture: ""Console is currently using agents inner messages to keep track of the total token usage -- this is inaccurate. As agents may not emit inner messages, and SelectorGroupChat model client usage is not reflected. We need to fix these as well."" Active engineering discussion: @gziz on implementation, @ekzhu specifying GroupChatSelectSpeaker event-type architecture, @husseinmozannar extending the gap to M1 orchestrator (""the model usage of the M1 orchestrator is also not tracked""). Documented zero-cost-display: ""The total token usage reported is 0, which is false, because the selector group chat uses model client to choose the next agent."" PRs #4768 and #4771 reference this; cross-linked to Observability parent issue #5620 and #4172, #4835. FIRST cross-ecosystem M-cost-observability case extending the cluster from LangChain-only (LANG-006/007/008/010) to AutoGen, demonstrating cost-observability gaps are an architectural pattern across multiple frameworks.",fr
ATGN-007,autogen,2023-10,#175,We Need a Token Count,,,"paper:fr; closed completed Oct 12 2023 by @qingyun-wu via PR #179 by @yiranwu0. Filed Oct 10 2023 by @aiInvader: ""This is a super crucial feature. When finished executing, we need the token count."" Reporter pushed back when @qingyun-wu pointed to existing logging (which only logged cost in USD, not token count). Maintainer @sonichi confirmed gap: ""Lets add token count to the logging. Anyone interested in adding it?"" Contributor @TomExMachina: ""The token counts are a metric that need to always be available to both the developer and the agent."" Implementation by @yiranwu0 within 2 days. Earliest cost-tracking gap in autogen, contemporaneous with AGPT-001 (Apr 2023), GPTE-003 (Jun 2023), and LLMI-003 (Jul 2023). Strengthens the maintainer-request cluster to 6 cases.",fr
ATGN-008,autogen,2025-02,#5400,Token counting issues with smaller models,,,"paper:bu; OPEN as of Feb 2025. Filed Feb 6 2025 by Member @afourney (Microsoft Research). Documents KeyError llama3.3:latest from _MODEL_TOKEN_LIMITS[resolved_model] in autogen-ext openai client when using local Ollama models. remaining_tokens() and get_token_limit() crash; multimodal_web_surfer breakage. Console floods with ""Model llama3.3:latest not found. Using cl100k_base encoding."" messages outside the logging system. @afourney own classification: ""Its unclear what the best solution is here. One option is to allow the context window and tokenizer to be specified in ModelInfo?"" Triaged through three milestones (0.4.6 -> 0.4.7 -> 0.4.8) by @ekzhu, then unassigned and milestone-shifted to 0.4.x-dotnet by @fniedtner Feb 18 2025; remains open and unassigned. Distinct M-cost-observability sub-mechanism from ATGN-006: architectural lock-in to curated provider list (hardcoded MODEL_TOKEN_LIMITS table breaks on any non-OpenAI/non-Anthropic model). Forward-looking pattern as LLM ecosystem fragments to local models.",bu
CRAI-001,crewai,2023-12,#6,"AgentExecutor chain loop stucked, will break OpenAI budget",,,paper:bf; first crewai loop incident,bf
CRAI-002,crewai,2024-09,#1355,Agents getting stuck in loop since move to LiteLLM,,,"paper:bf; LiteLLM-introduced regression, same-day patch",bf
CRAI-003,crewai,2024-06,#738,Loop in crew execution,,,"SKIPPED for paper. Bare 2-sentence bug report by @Ai-ENGINEER-s with no code, no logs, no repro. Asked for details by @mangalprada on Jun 8, no follow-up. Auto-closed by github-actions stale-bot Aug 22 2024.",SKIPPED
CRAI-004,crewai,2024-01,#183,Looping tasks,,,"SKIPPED for paper after URL verification (S4 qa-not-incident). Filed Jan 25 2024 by @chriscamacho as a workflow-design question (4-line body): how to chain programming-agent and testing-agent tasks with feedback loop. No incident, no mechanism, no cost evidence. @Biancamazzi (bot tag) pointed to Discord; community user @Kolaposki suggested task.execute(). No core maintainer engagement. Converted to discussion thread #1147 by @theCyberTech Aug 7 2024 and locked. Title is loop-shape but the issue is structurally a Q&A about how to build a feedback loop, not a report of one running away.",S4
CRAI-005,crewai,2025-08,#3299,Thinking budget parameter for gemini models,,,SKIPPED for paper. Resolved same-day by reporter @Vamshi3130 after user @mouramax pointed to existing LiteLLM thinking_budget passthrough. Not a real failure incident. Closed Aug 9 2025.,SKIPPED
AGPT-001,autogpt,2023-04,#6,Make Auto-GPT aware of running cost,,,paper:fr; first runaway-cost feature request,fr
AGPT-002,autogpt,2023-04,#393,Set budget per session with soft/hard cap,,,"paper:fr; ""set budget for each session with soft and hard cap""",fr
AGPT-003,autogpt,2024-06,#7216,Optimally productive per dollar of LLM expense; risk of infinite recursion,,,"SKIPPED for paper. Roadmap/SWOT meta-issue from maintainer @Pwuts; mentions infinite-recursion as a ""Threat"" but no production incident, no dollar amount. Closed not-planned as duplicate of #6964 by Pwuts on Jun 14 2024. CSV title misleading.",SKIPPED
AGPT-004,autogpt,2023-04,#2726,auto-gpt stuck in a loop of thinking,,,"SKIPPED for paper after URL verification (S5 user-found-existing-feature). Filed Apr 21 2023 by @MikeWIseX0; closed same-day by reporter after community member @90stm pointed out the issue was lack of paid OpenAI billing account (""Setup a paid account here... it wasnt until I did this that those same issues disappeared""). Reporter response: ""Ok thx"" and closes. AutoGPT was looping on API auth-rejection errors (DOUBLE CHECK CONFIGURATION warnings visible in logs) due to free-tier-only account. Follow-up @nathantbohn reports same pattern persists with paid account but no engagement and no maintainer analysis. Same shape as LLMI-001: user error / billing-account state, not framework-level cost amplification.",S5
AIDR-001,aider,2024-09,#1842,Loop ran up $13 in charges rapidly,,13.55,paper:bf; fixed same day in commit f2e1e17,bf
AIDR-002,aider,2024-09,#1841,"Loop trying to answer a question, tokens 22k->313k",,0.43,SKIPPED for paper (duplicate of AIDR-001 root cause): same fix commit f2e1e17. Comments link to #1842. Note user 0-sv reports separate $11.64 loop in deleted folder Nov 2024.,SKIPPED
AIDR-003,aider,2024-11,#2491,Enormous token counts and costs from rate limit retries,,83,"paper:bu; auto-closed by github-actions stale-bot Dec 27 2024 with no fix. Reporter @tom-doerr documents $83 in a single day. Other user @etewiah reports same call sending 114k tokens then 915k tokens after rate-limit retries ($2.75 message). Maintainer @paul-gauthier framed as display-layer issue (""the provider should not actually charge you when they return a rate limit error"") even though @etewiah explicitly verified actual charges via provider billing dashboard. Strongest dollar evidence after DNSW-001 ($2150). Adds rate-limit-retry subclass.",bu
AIDR-004,aider,2024-07,#863,Tokens leak: 11k tokens for small change,,,"paper:mf; closed by maintainer @paul-gauthier Aug 6 2024. Reporter @ErykCh observed 11k tokens consumed for /tokens displayed 1.8k context (6.1x amplification). Maintainer initially confirmed bug (""not showing the tokens used by the repo-map. I will get this fixed"") then walked back over multiple comments: ""The --map-tokens is a guideline, not a hard limit"" and ""This is expected when you are running with no added files. Aider uses a larger repo map."" Other user @mr-september reports more dramatic 1.2M token incidents in same thread. Strengthens the by-design pattern (now 6 cases).",mf
AIDR-005,aider,2024-10,#1919,Costly message $4.99 with token limits breach,,4.99,"paper:bu; closed not-planned by github-actions stale-bot Oct 29 2024 with no maintainer fix. Issue body shows ""$4.99 message, $9.68 session"" verbatim; oversize-msg breach (1.66M tokens vs 200k limit). Distinct failure mode from AIDR-001 retry loop.",bu
AIDR-006,aider,2025-04,#3803,"DeepSeek R1 thinking in thousands of tokens, cannot limit",,,paper:bu; OPEN. New failure subclass: reasoning-model hidden-token consumption. Reporter @GeorgeFlorian: DeepSeek-R1 thinks in thousands of tokens before response; aider thinking-tokens setting does not take effect. Workaround reasoning.exclude:true suppresses visibility but not consumption. Adds reasoning-model subclass to catalog (no other rows cover this).,bu
AIDR-007,aider,2024-01,#458,/tokens pricing calculations bug,,,"SKIPPED for paper after URL verification (S3 weak-evidence-stub). Filed Jan 27 2024 by @transcendr; same-day fix by @paul-gauthier in commit 35f8128 closing Feb 10 2024. The bug is a pricing-table lookup error (gpt-4-turbo-preview displayed at base gpt-4 pricing, ~2-3x overstated) not a silent-zero or mechanistic undercount. No documented incident, no mechanism amplification, no quotable maintainer framing -- one-line acknowledge-and-fix. Different shape than LANG-006/007/008/010 which involve ledgers reporting $0 or substantial undercounts despite real spend. Skipping to keep M-cost-observability cluster mechanism-coherent.",S3
LLMI-001,llamaindex,2024-05,#13278,RateLimitError: Error code 429 quota exceeded,,,"SKIPPED for paper after URL verification (S5 user-found-existing-feature). Filed May 6 2024 by @craigjurs; closed-completed by reporter May 7 2024 (one day later) with self-resolution: ""After some investigation Ive found that indeed its my lack of attention about the refresh on the openai account which caused the api key I was using to be inactive. Ive learned there is an automatic recharge setting that allows this not to happen again. Apologies to waste anyone's time."" The 429 was an OpenAI insufficient_quota error from an inactive API key (billing-refresh issue), not framework-level rate-limit amplification. Pure user error / billing-account state. No mechanism amplification, no incident, no maintainer classification statement.",S5
LLMI-002,llamaindex,2024-08,#15083,Tool calling broken when LLM responds with both text and tool calls,,,"SKIPPED for paper. Streaming/tool-calling correctness bug not budget overrun. When GPT-4o returns text+tool_calls in same message, stream_chat ignores tool_call and chat stalls. Fixed by maintainer @logan-markewich Apr 10 2025 via new agent-workflows API.",SKIPPED
LLMI-003,llamaindex,2023-04,#1070,Cost of building and querying each index TODO,,,"paper:fr; closed completed Jul 26 2023 by @Disiok with documentation pointer to TokenCountingHandler. Earliest documented cost-tracking gap in LlamaIndex (cited ""TODO"" from reference docs). Same era as AGPT-001/002. Adds LlamaIndex (run-llama/llama_index) to the catalog. Maintainer @logan-markewich answered followup questions about default embedding model (text-ada-002, $0.0004/1k).",fr
LLMI-004,llamaindex,2025-08,#19722,Storing tool's raw result from agent's tool calling,,,"SKIPPED for paper after URL verification (S1 wrong-failure-class). Filed Aug 22 2025 by @bzr1 as a workflow-design question: how to capture raw tool outputs from agent.run() given that the default return is LLM-processed not raw. Collaborator @logan-markewich engaged with technical clarification about Context-typed tool arguments. Mostly a dosubot Q&A thread. Stale-closed weeks later. Mechanistically about result-storage in LlamaIndex workflows, not cost/budget overruns. No cost mechanism, no rate-limit, no amplification, no budget concern anywhere in the thread.",S1
CCDE-001,claude-code,2025-10,#9579,Autocompacting Loop Causing Massive Token Usage Spikes,,235,"paper:bf; quoted by maintainer @bcherny; closed by commit Oct 17, 2025",bf
CCDE-002,claude-code,2025-08,#6461,[Bug] [Has Workaround] Auto-Compact Resetting Context Limit To 4-6% Causing Frequent Compaction Loop,,,"paper:bu; closed not-planned by github-actions bot Jan 4 2026 after 60-day inactivity. Filed Aug 24 2025 by @Codewow. Same compaction-loop signature as CCDE-001. Bot itself flagged three duplicates at filing (#6004, #6315, #6232) and the activity log references at least seven additional sibling issues filed Aug-Dec 2025 (#6469, #6541, #8435, #9353, #10389, #11616, #13408). User comment: ""it is 3rd day in a row I cannot use my $200 subscription at all."" Workaround is manual deletion of settings.local.json; framework was not patched. Tag changed from bf to bu after URL verification.",bu
CCDE-005,claude-code,2025-10,#8838,[Bug] Auto-Compact Loses Track of Active Commands During Cleanup,,,"SKIPPED for paper after URL verification. Closed as duplicate of #3321 (.mcp.json not read) by github-actions bot Oct 7 2025. Filed Oct 3 2025 by @eliasstepanik. Underlying root cause is MCP JSON parsing failure plus Cloudflare 525 SSL handshake errors, not a budget overrun. Bot flagged duplicates of unrelated issues (#3321 mcp.json, #7282 background tasks, #8831 slash commands). Compaction-loop angle is incidental, not the primary failure mode. Removed in v18 to maintain catalog quality. [v23 catalog cleanup: renumbered from duplicate CCDE-003 -> CCDE-005 to fill gap in CCDE sequence]",SKIPPED
GPTE-001,gpt-engineer,2023-07,#551,Rate limit reached for 10KTPM-200RPM,,,"SKIPPED for paper after URL verification (S6 rate-limit-not-budget). Filed Jul 23 2023 by @pdavis68; closed by owner @AntonOsika Sep 2 2023 with upstream classification: ""Doesn't seem like an issue with gpt-engineer but openai, happy to hear suggestions will close otherwise."" Reporter wrote a 150-line prompt + answers to 15 clarification questions in one turn, exceeding OpenAI Tier 1 10K-tokens-per-minute account limit. Single-call rate-limit hit on a too-large prompt; no retry amplification, no documented dollar loss, no incident beyond the failed call. Contributor @niklasfink (Aug 29 2023) confirmed: ""The problem is that your prompt and clarifications are too extensive for your OpenAI plan."" Same OpenAI rate-limit error template (""10KTPM-200RPM"") as LANG-011 #11347 and a documented 2023 free-tier UX failure mode across frameworks, but not amplification-through-retry per codebook S6.",S6
GPTE-002,gpt-engineer,2023-06,#114,"Specifications repeating, consuming many tokens",,,"paper:bf; first gpt-engineer entry. Owner @AntonOsika initially classified spec-repetition as ""part of the introspection process"" (mf framing) but reduced excessive specs and closed Jun 21 2023. Concrete reproduction: simple ""write a 2D car racing game"" prompt produces doubled spec output, hits ""Aborted"" without completing.",bf
GPTE-003,gpt-engineer,2023-06,#322,Track and log token usage,,,"paper:fr; closed completed Jul 5 2023 by @AntonOsika (project owner) via PR #438 merged by @UmerHA. Filed Jun 22 2023 by @AntonOsika himself: ""Print and store how many tokens were used in memory/logs. In this way, we can also store this to benchmark results. A huge increase in tokens will not be worth a minor improvement in benchmark resultss."" Earliest cost-tracking gap in gpt-engineer, filed by project owner pre-incident. Strengthens the maintainer-request-cluster: AGPT-001 (Apr 2023, feature_request), AGPT-002 (2023, feature_request), LLMI-003 (Jul 2023, feature_request), GPTE-003 (Jun 2023, feature_request), ATGN-007 (Oct 2023, feature_request), PCLP-001 (Mar 2026, maintainer_framing) -- six projects across 2023-2026 documenting cost-tracking as a recognized but reactively-addressed gap.",fr
DNSW-001,danswer,2024,PR1569,Word of warning: 2k euros spent in a few days,,~2150 (2000 EUR),paper:bu; multi-day onyx deployment loss,bu
OCLW-001,openclaw,2026-02,#5960,"Agent session 123 Opus calls in 16min, $4.85, no cap",,4.85,paper:bu; WONTFIX,bu
NANO-001,nanobot,2026-03,#2318,Tool-loop cost roadmap; max_iterations doesn't cap spend,,2.70,paper:fr; max_cost_per_message proposal,fr
PCLP-001,paperclipai,2026-03,#390,Agent circuit breaker; #1 pain point across all multi-agent tools,,,"paper:mf; ""#1 pain point across all multi-agent tools""",mf
CDXL-001,codex,2026-04,#18335,Agent spawn slots leak across turns in persistent sessions,,,"paper:mf; closed ""by design"" by maintainer jif-oai. Reporter documents 24 spawns / 14 closes across 9 rounds; spawn permanently blocked from round 4 onward. Follow-up issue #19197 (persistent orphaned subagents) opened by user vzd3v: ""It is hard for me to understand why this issue was closed.""",mf
AGNO-001,agno,2024-10,#1284,Ollama setup requiring openai-api key?,,,"SKIPPED for paper after URL verification (S1 wrong-failure-class). Filed Oct 21 2024 against phidata 2.5.9 (pre-rename to agno) by @gitmurawka; closed same day by @jacobweiss2305 after pointing out user used deprecated llm= parameter instead of model=, which caused phidata to fall back to OpenAI default and fail with auth error. No money spent (call failed before billing); no mechanism amplification; pure configuration confusion. The underlying silent-OpenAI-fallback pattern (user intends Ollama-only but framework routes to paid API) is potentially paper-relevant in a different issue with documented spend, but this specific case has no incident.",S1
AGNO-002,agno,2025-02,#2156,Fix Agentic Chunking,,,"SKIPPED for paper after URL verification (S1 wrong-failure-class). PR merged Feb 17 2025 by @dirkbrnd, authored by @manthanguptaa. Bug: agentic-chunking module hardcoded OpenAI as a dependency even when user configured a different model. Same shape as AGNO-001: misconfiguration/hardcoded-OpenAI-dependency bug, not a cost mechanism. No documented incident, no quantified spend, no rate-limit, no retry amplification.",S1
