issue_id,framework,short_url,title,rater_b_cluster,rater_b_note
ATGN-008,autogen,#5400,Token counting issues with smaller models,M-cost-observability,
SMAG-004,smolagents,#1129,Is there a step timeout feature?,M-budget-primitive-missing,
LANG-007,langsmith,#2024,Cost showing up as 0 despite having tokens,M-cost-observability,
AIDR-003,aider,#2491,Enormous token counts and costs from rate limit retries,M-cost-observability,
LANG-009,deepagentsjs,#82,Agent infinite loop with large tool results,M-retry-loop,
OCLW-001,openclaw,#5960,"Agent session 123 Opus calls in 16min, $4.85, no cap",M-budget-primitive-missing,
PYAI-005,pydantic-ai,#4137,Feature Request: First-class Context Compaction API,M-context-amplification,
MAST-007,mastra,#8351,Mastra Server not handling rate limit error for anthropic provider,M-budget-primitive-missing,
LANG-004,langchain,#29779,Reasoning tokens not in cost calculation,M-cost-observability,
MAST-013,mastra,#13849,Anthropic prompt caching with agent.stream() and Memory -- how to cache conversation history?,providerOptions-silently-dropped,
ATGN-006,autogen,#4719,Token usage and latency metrics in TaskResult,M-cost-observability,
ATGN-009,autogen,#4172,Logging metrics for agents,M-cost-observability,
MAST-004,mastra,#5490,"[BUG] memory processor only run the 1st time agent is called",M-context-amplification,
MAST-006,mastra,#8162,"[BUG] Langfuse exporter not capturing output tokens from LLM calls",M-cost-observability,
LANG-016,langchain,#25309,No notification when exceeding Anthropic rate limit,M-budget-primitive-missing,
MAST-010,mastra,#5876,"[BUG] Query performance reduces as memory grows larger",M-storage-amplification,
PYAI-007,pydantic-ai,#4538,Expose context window size on ModelProfile and usage limits/tokens on RunContext,M-cost-observability,
LANG-036,langchain,#34873,Support approximate token counting for image blocks in langchain-core,M-cost-observability,
SMAG-005,smolagents,#967,List of Free Local LLM Models - Up and Running,M-budget-primitive-missing,
PYAI-006,pydantic-ai,#3118,Better handling when max tokens limit results in incomplete tool call arguments,M-budget-primitive-missing,
CRAI-001,crewai,#6,"AgentExecutor chain loop stucked, will break OpenAI budget",M-retry-loop,
PYAI-003,pydantic-ai,#4364,Anthropic cache tokens double-counted in Langfuse/OTel,M-cost-observability,
MAST-003,mastra,#9016,"[FEATURE] Track token usage across agent network iterations",M-cost-observability,
LANG-034,langchain,#35059,ChatOpenAI silently drops reasoning_content from OpenAI-compatible providers,providerOptions-silently-dropped,
CRAI-002,crewai,#1355,Agents getting stuck in loop since move to LiteLLM,M-retry-loop,
LANG-001,langgraph,#6731,Agent infinite looping until recursion limit,M-retry-loop,
SMAG-006,smolagents,#1719,best way of preventing token overflow when the agent is making LLM request,M-context-amplification,
LANG-031,langchain,#9535,Regression in structured_chat agent Output parser,M-budget-primitive-missing,
LANG-020,langchain,#26701,Anthropic prompt caching in langchain does not work with ChatPromptTemplate,providerOptions-silently-dropped,
MAST-020,mastra,#9584,should not convert files into base64 for LLM providers that support providing documents as URL,M-multimodal-cost-amplification,
LANG-017,langchain,#9929,ParentDocumentRetriever is slow with FAISS because add_documents uses embed_query without batching,M-budget-primitive-missing,
LANG-033,langchain,#34613,Deprecation warning guides users to langchain.agents breaking stream_mode messages token streaming,M-budget-primitive-missing,
LANG-029,langchain,#10520,Reduce azure openai token usage,M-budget-primitive-missing,
AIDR-004,aider,#863,Tokens leak: 11k tokens for small change,M-cost-observability,
SMAG-002,smolagents,#901,Agent memory/history consolidation after a number of interactions,M-context-amplification,
OAAS-001,openai-agents,#191,Tool Calling Running in Loop Until Max-Turn,M-retry-loop,
CRAI-006,crewai,#933,Token Usage Metrics for Each Task,M-cost-observability,
DSPY-004,dspy,#8416,Token Tracking Issue - Bedrock with Streamified Predict,M-cost-observability,
CCDE-001,claude-code,#9579,Autocompacting Loop Causing Massive Token Usage Spikes,M-retry-loop,
AIDR-006,aider,#3803,"DeepSeek R1 thinking in thousands of tokens, cannot limit",providerOptions-silently-dropped,
LANG-032,langchain,#22636,langchain-openai - max_tokens - 2 confirmed bugs,providerOptions-silently-dropped,
CRAI-012,crewai,#2464,CrewAI ChromaDB Embedding Dimension Mismatch Issue,M-storage-amplification,
LANG-006,langsmith,#2085,Token count and cost incorrectly display as 0,M-cost-observability,
LLMI-005,llamaindex,#13992,LanceDBVectorStore database size blows up on creation,M-storage-amplification,
ATGN-019,autogen,#1464,GroupChat keeps calling all the available agent and does not stop even after output from one agent is generated,M-delegation-fanout,
LANG-014,langchain,#9717,Langchain QA over large documents results in Rate limit errors,M-budget-primitive-missing,
MAST-016,mastra,#5715,Does new workflows have same retry logic as legacy workflows?,M-budget-primitive-missing,
LANG-037,langchain,#32252,LangChain-OpenAI raises error due to null choices when using vLLM OpenAI-compatible API,M-budget-primitive-missing,
PYAI-002,pydantic-ai,#4359,Automatic tool budget reminders via ToolReturn.content,M-budget-primitive-missing,
ATGN-002,autogen,#5317,Infinite loop in quick start sample with additional agent,M-retry-loop,
MAST-023,mastra,#10154,Cannot send base64 images to Gemini in Mastra v1.0 Beta,M-multimodal-cost-amplification,
ATGN-007,autogen,#175,We Need a Token Count,M-cost-observability,
LLMI-003,llamaindex,#1070,Cost of building and querying each index TODO,M-cost-observability,
GPTE-002,gpt-engineer,#114,"Specifications repeating, consuming many tokens",M-retry-loop,
NANO-001,nanobot,#2318,Tool-loop cost roadmap; max_iterations doesn't cap spend,M-retry-loop,
LANG-030,langchain,#30429,core: incorrect token count (usage_metadata) in streaming mode,M-cost-observability,
LANG-005,langchain,#30795,Total cost calculation possible bug with o3-mini,M-cost-observability,
ATGN-003,autogen,#5831,Infinite loop in swarm with human dialogue,M-retry-loop,
CRAI-010,crewai,#4783,Hierarchical process delegation fails - manager agents cannot delegate to worker agents,M-retry-loop,
