issue_id,framework,date,short_url,title,rater_b_tag,notes
MAST-014,mastra,2026-03,#14598,OM issues in tool heavy environments,,
MAST-013,mastra,2026-03,#13849,Anthropic prompt caching with agent.stream() and Memory -- how to cache conversation history?,,
AIDR-003,aider,2024-11,#2491,Enormous token counts and costs from rate limit retries,,
MAST-001,mastra,2025-07,#5850,[BUG] Upstash for storage is getting ridiculously expensive,,
LANG-029,langchain,2023-09,#10520,Reduce azure openai token usage,,
CRAI-014,crewai,2025-04,#2655,crewai with AzureOpenAI embeddings fixed,,
CRAI-008,crewai,2025-05,#2838,Manager agent repeatedly performs tasks,,
LANG-004,langchain,2025-02,#29779,Reasoning tokens not in cost calculation,,
ATGN-019,autogen,2024-01,#1464,GroupChat keeps calling all the available agent and does not stop even after output from one agent is generated,,
CRAI-007,crewai,2024-11,#1606,crew result token usage always 0,,
OAAS-002,openai-agents,2025-06,#844,Max turns exceeded,,
DSPY-005,dspy,2025-09,#8865,Token Limit when running GEPA on multimodal problem,,
LANG-008,langchain,2024-02,#19120,OpenAI Tokens and Cost are inaccurate,,
LANG-019,langchain,2023-10,#11313,Azure Cognitive Search vector DB store performs slow embedding as it does not utilize the batch embedding functionality,,
LANG-012,langchain,2024-05,#22241,429 Resource Exhausted with gemini-1.5-pro,,
CRAI-009,crewai,2025-06,#2938,Crew Agent Experiencing Issues with Basic Task Execution,,
LANG-037,langchain,2025-07,#32252,LangChain-OpenAI raises error due to null choices when using vLLM OpenAI-compatible API,,
LANG-026,langchain,2025-02,#29843,ChatFireworks does not retry on API errors (max_retries parameter is fake),,
LANG-025,langchain,2023-10,#11500,Retry limit is not respected,,
DSPY-001,dspy,2024-06,#1132,How to set a max input length?,,
ATGN-002,autogen,2025-02,#5317,Infinite loop in quick start sample with additional agent,,
SMAG-006,smolagents,2025-08,#1719,best way of preventing token overflow when the agent is making LLM request,,
AIDR-005,aider,2024-10,#1919,Costly message $4.99 with token limits breach,,
SMAG-005,smolagents,2025-03,#967,List of Free Local LLM Models - Up and Running,,
MAST-023,mastra,2025-11,#10154,Cannot send base64 images to Gemini in Mastra v1.0 Beta,,
PYAI-005,pydantic-ai,2026-01,#4137,Feature Request: First-class Context Compaction API,,
LANG-036,langchain,2026-01,#34873,Support approximate token counting for image blocks in langchain-core,,
LLMI-003,llamaindex,2023-04,#1070,Cost of building and querying each index TODO,,
CRAI-006,crewai,2024-07,#933,Token Usage Metrics for Each Task,,
NANO-001,nanobot,2026-03,#2318,Tool-loop cost roadmap; max_iterations doesn't cap spend,,
MAST-021,mastra,2025-09,#7253,Storage-backed image/file attachments,,
SMAG-002,smolagents,2025-03,#901,Agent memory/history consolidation after a number of interactions,,
GPTE-003,gpt-engineer,2023-06,#322,Track and log token usage,,
AGPT-002,autogpt,2023-04,#393,Set budget per session with soft/hard cap,,
MAST-003,mastra,2025-10,#9016,[FEATURE] Track token usage across agent network iterations,,
MAST-005,mastra,2025-12,#11273,maxOutputTokens quits agentic loop if max output tokens reached at a particular step,,
AIDR-009,aider,2025-03,#3471,claude code /compact command,,
AGPT-001,autogpt,2023-04,#6,Make Auto-GPT aware of running cost,,
ATGN-018,autogen,2023-12,#1070,Cost calculation for the whole chat session,,
ATGN-005,autogen,2023-10,#156,Roadmap for handling context overflow,,
ATGN-006,autogen,2024-12,#4719,Token usage and latency metrics in TaskResult,,
PYAI-002,pydantic-ai,2026-02,#4359,Automatic tool budget reminders via ToolReturn.content,,
ATGN-007,autogen,2023-10,#175,We Need a Token Count,,
MAST-002,mastra,2025-07,#5703,Token / Cost Usage Tracking?,,
SMAG-004,smolagents,2025-04,#1129,Is there a step timeout feature?,,
MAST-009,mastra,2025-10,#9068,[FEATURE] Add support for providerOptions (e.g. cache control) when defining tools,,
ATGN-003,autogen,2025-03,#5831,Infinite loop in swarm with human dialogue,,
CDXL-001,codex,2026-04,#18335,Agent spawn slots leak across turns in persistent sessions,,
AIDR-004,aider,2024-07,#863,Tokens leak: 11k tokens for small change,,
PYAI-007,pydantic-ai,2026-03,#4538,Expose context window size on ModelProfile and usage limits/tokens on RunContext,,
MAST-004,mastra,2025-06,#5490,[BUG] memory processor only run the 1st time agent is called,,
PCLP-001,paperclipai,2026-03,#390,Agent circuit breaker; #1 pain point across all multi-agent tools,,
DNSW-001,danswer,2024,PR1569,Word of warning: 2k euros spent in a few days,,
LANG-006,langsmith,2025-10,#2085,Token count and cost incorrectly display as 0,,
