issue_id,framework,url,rater_a_cluster,evidence_basis
ATGN-003,autogen,https://github.com/microsoft/autogen/issues/5831,M-retry-loop,"converted to discussion #5869 by @ekzhu Mar 7 2025 (effectively closed without fix). Maintainer response to swarm infinite-loop: ""It is because the model could not generate a tool call for handing off to the user [...] No magic here."" Multiple users (@toughnoah) report the same with gpt-4o and qwen-max. Strengthens the by-design pattern; second AutoGen entry parallel to ATGN-001."
ATGN-005,autogen,https://github.com/microsoft/autogen/issues/156,M-context-amplification,"closed completed Mar 14 2024 by @yiranwu0 when several PRs (#131, #421, #443, #497) merged. 2023-era AutoGen roadmap parallel to AGPT-001/002. Documentation pointer (microsoft.github.io/autogen/docs/topics/long_contexts) cited Apr 2024 by @ekzhu became 404 by Sep 2025 after AutoGen v0.4 rewrite, with user @reski-rukmantiyo asking ""how to solve this?"" Pattern: shipped-then-bit-rotted via rewrite. Third AutoGen entry; oldest 2023 issue showing context-overflow as a known concern across frameworks."
ATGN-007,autogen,https://github.com/microsoft/autogen/issues/175,M-cost-observability,"closed completed Oct 12 2023 by @qingyun-wu via PR #179 by @yiranwu0. Filed Oct 10 2023 by @aiInvader: ""This is a super crucial feature. When finished executing, we need the token count."" Reporter pushed back when @qingyun-wu pointed to existing logging (which only logged cost in USD, not token count). Maintainer @sonichi confirmed gap: ""Lets add token count to the logging. Anyone interested in adding it?"" Contributor @TomExMachina: ""The token counts are a metric that need to always be available"
CRAI-001,crewai,https://github.com/crewAIInc/crewAI/issues/6,M-delegation-fanout,first crewai loop incident
CRAI-002,crewai,https://github.com/crewAIInc/crewAI/issues/1355,M-retry-loop,"LiteLLM-introduced regression, same-day patch"
AGPT-001,autogpt,https://github.com/Significant-Gravitas/AutoGPT/issues/6,M-budget-primitive-missing,first runaway-cost feature request
AGPT-002,autogpt,https://github.com/Significant-Gravitas/AutoGPT/issues/393,M-budget-primitive-missing,"""set budget for each session with soft and hard cap"""
AIDR-001,aider,https://github.com/Aider-AI/aider/issues/1842,M-retry-loop,fixed same day in commit f2e1e17
AIDR-003,aider,https://github.com/Aider-AI/aider/issues/2491,M-rate-limit-amplification,"auto-closed by github-actions stale-bot Dec 27 2024 with no fix. Reporter @tom-doerr documents $83 in a single day. Other user @etewiah reports same call sending 114k tokens then 915k tokens after rate-limit retries ($2.75 message). Maintainer @paul-gauthier framed as display-layer issue (""the provider should not actually charge you when they return a rate limit error"") even though @etewiah explicitly verified actual charges via provider billing dashboard. Strongest dollar evidence after DNSW-00"
AIDR-004,aider,https://github.com/Aider-AI/aider/issues/863,M-context-amplification,"closed by maintainer @paul-gauthier Aug 6 2024. Reporter @ErykCh observed 11k tokens consumed for /tokens displayed 1.8k context (6.1x amplification). Maintainer initially confirmed bug (""not showing the tokens used by the repo-map. I will get this fixed"") then walked back over multiple comments: ""The --map-tokens is a guideline, not a hard limit"" and ""This is expected when you are running with no added files. Aider uses a larger repo map."" Other user @mr-september reports more dramatic 1.2M tok"
AIDR-005,aider,https://github.com/Aider-AI/aider/issues/1919,M-retry-loop,"closed not-planned by github-actions stale-bot Oct 29 2024 with no maintainer fix. Issue body shows ""$4.99 message, $9.68 session"" verbatim; oversize-msg breach (1.66M tokens vs 200k limit). Distinct failure mode from AIDR-001 retry loop."
AIDR-006,aider,https://github.com/Aider-AI/aider/issues/3803,M-context-amplification,OPEN. New failure subclass: reasoning-model hidden-token consumption. Reporter @GeorgeFlorian: DeepSeek-R1 thinks in thousands of tokens before response; aider thinking-tokens setting does not take effect. Workaround reasoning.exclude:true suppresses visibility but not consumption. Adds reasoning-model subclass to catalog (no other rows cover this).
LLMI-003,llamaindex,https://github.com/run-llama/llama_index/issues/1070,M-cost-observability,"closed completed Jul 26 2023 by @Disiok with documentation pointer to TokenCountingHandler. Earliest documented cost-tracking gap in LlamaIndex (cited ""TODO"" from reference docs). Same era as AGPT-001/002. Adds LlamaIndex (run-llama/llama_index) to the catalog. Maintainer @logan-markewich answered followup questions about default embedding model (text-ada-002, $0.0004/1k)."
CCDE-001,claude-code,https://github.com/anthropics/claude-code/issues/9579,M-retry-loop,"quoted by maintainer @bcherny; closed by commit Oct 17, 2025"
CCDE-002,claude-code,https://github.com/anthropics/claude-code/issues/6461,M-retry-loop,"closed not-planned by github-actions bot Jan 4 2026 after 60-day inactivity. Filed Aug 24 2025 by @Codewow. Same compaction-loop signature as CCDE-001. Bot itself flagged three duplicates at filing (#6004, #6315, #6232) and the activity log references at least seven additional sibling issues filed Aug-Dec 2025 (#6469, #6541, #8435, #9353, #10389, #11616, #13408). User comment: ""it is 3rd day in a row I cannot use my $200 subscription at all."" Workaround is manual deletion of settings.local.json;"
GPTE-002,gpt-engineer,https://github.com/gpt-engineer-org/gpt-engineer/issues/114,M-context-amplification,"first gpt-engineer entry. Owner @AntonOsika initially classified spec-repetition as ""part of the introspection process"" (mf framing) but reduced excessive specs and closed Jun 21 2023. Concrete reproduction: simple ""write a 2D car racing game"" prompt produces doubled spec output, hits ""Aborted"" without completing."
GPTE-003,gpt-engineer,https://github.com/gpt-engineer-org/gpt-engineer/issues/322,M-storage-amplification,"closed completed Jul 5 2023 by @AntonOsika (project owner) via PR #438 merged by @UmerHA. Filed Jun 22 2023 by @AntonOsika himself: ""Print and store how many tokens were used in memory/logs. In this way, we can also store this to benchmark results. A huge increase in tokens will not be worth a minor improvement in benchmark resultss."" Earliest cost-tracking gap in gpt-engineer, filed by project owner pre-incident. Strengthens the maintainer-request-cluster: AGPT-001 (Apr 2023, feature_request), "
DNSW-001,danswer,https://github.com/danswer-ai/danswer/pull/1569,M-budget-primitive-missing,multi-day onyx deployment loss
OCLW-001,openclaw,[RESOLVE] ?openclaw issues/5960,M-delegation-fanout,WONTFIX
NANO-001,nanobot,https://github.com/HKUDS/nanobot/issues/2318,M-retry-loop,max_cost_per_message proposal
PCLP-001,paperclipai,[RESOLVE] ?paperclipai issues/390,M-retry-loop,"""#1 pain point across all multi-agent tools"""
CDXL-001,codex,https://github.com/openai/codex/issues/18335,M-delegation-fanout,"closed ""by design"" by maintainer jif-oai. Reporter documents 24 spawns / 14 closes across 9 rounds; spawn permanently blocked from round 4 onward. Follow-up issue #19197 (persistent orphaned subagents) opened by user vzd3v: ""It is hard for me to understand why this issue was closed."""
MAST-009,mastra,https://github.com/mastra-ai/mastra/issues/9068,M-context-amplification,"closed completed Nov 29 2025 (~5 week resolution) via PR #10649 by Member @abhiaiyer91 (commit d6ce671). Filed Oct 21 2025 by @diegoarda. Tagged enhancement + Tools. Cost-optimization framing throughout: ""Having this flexibility is useful to optimize latency, cost, and correctness depending on the tool purpose"" and proposed Mastra-internal forwarding of providerOptions including {anthropic: {cacheControl: {type: ephemeral}}} from tool definitions to underlying model calls. CRITICAL post-merge re"
MAST-012,mastra,https://github.com/mastra-ai/mastra/issues/7934,M-storage-amplification,closed completed Sep 19 2025 (2-day resolution) via PR #7987 by Member @abhiaiyer91 (commit cf34503). Filed Sep 17 2025 by Contributor @wardpeet on behalf of Discord user. Tagged p:urgent. Reporter documented Mastra Agent class wrapping logic dropping providerOptions for system role messages despite passing them in streamVNext message array. Reporter provided MINIMAL REPRO PROVING MECHANISM: identical code structure with @ai-sdk/anthropic streamText direct call DOES cache the system prompt; same
MAST-013,mastra,https://github.com/mastra-ai/mastra/issues/13849,M-storage-amplification,"closed Mar 6 2026 (next day) by Member @roaminro pointing to mastracode promptCacheMiddleware as recommended approach. Filed Mar 5 2026 by Contributor @daneatmastra from Discord (user brandrsn) against @mastra/core 1.9.0 + claude-haiku-4-5-20251001 + agent.stream() with maxSteps: 5 + Memory with lastMessages: 20. INITIAL COST DATA: ""The Anthropic dashboard confirms ~50% cache hit rate -- system prompt + tools are cached. The remaining 50% is conversation history loaded from Memory, which has no "
LANG-020,langchain,https://github.com/langchain-ai/langchain/issues/26701,M-storage-amplification,"closed completed Sep 10 2025 by Member @mdrxy via PR #30967 (Collaborator @ccurme Apr 23 2025: ""This should be closed by #30967 upon release""). Filed Sep 20 2024 by @raajChit. 12-month thread with deep source-line-level mechanism documentation. KEY DIAGNOSIS by Contributor @Nilesh3105 (Mar 3 2025): langchain_core/prompts/chat.py lines 523-538 (_StringImageMessagePromptTemplate.from_template) -- ""when it receives a list of dict with text key, it converts it to a StringPromptTemplate and drops all"
LANG-021,langchain,https://github.com/langchain-ai/langchain/issues/33635,M-storage-amplification,"with strong fix-merged-not-released delay signal. Filed Oct 22 2025 by @Haknt; closed completed Nov 8 2025 by Collaborator @sydney-runkle ""Fixed by #33640, will be released soon!"" (self-assigned Nov 7, closed Nov 8 -- 17-day filing-to-merge). v1.0 API REGRESSION MECHANISM: pre-v1.0 create_react_agent(prompt=cached_system_message) with structured SystemMessage(content=[{cache_control: ...}]) worked; v1.0 create_agent(system_prompt=INFO_GATHERER_PROMPT) accepts only str, breaking structured-messag"
LANG-022,langchain,https://github.com/langchain-ai/langchain/issues/33709,providerOptions-silently-dropped,OPEN at fetch despite 4+ months engagement and 3+ user-filed PRs. Filed Oct 29 2025 by Contributor @bart0401 with concrete minimal repro + complete root-cause analysis + execution-flow diagram. SOPHISTICATED MECHANISM: AnthropicPromptCachingMiddleware.before_model() adds cache_control -> Anthropic call fails (peer closed connection) -> ModelFallbackMiddleware switches to ChatOpenAI -> reuses message objects with cache_control still attached -> OpenAI rejects with TypeError: AsyncCompletions.crea
LANG-023,langchain,https://github.com/langchain-ai/langchain/issues/34542,providerOptions-silently-dropped,"closed completed in PR #34579 by Collaborator @ccurme Jan 6 2026 -- 7-day filing-to-merge. Released in langchain-anthropic 1.3.1 confirmed by @ccurme Jan 6: ""Released in langchain-anthropic 1.3.1."" Filed Dec 30 2025 by @pawel-kotowski with concrete minimal repro using claude-sonnet-4-5-20250929 + advanced-tool-use-2025-11-20 beta + code_execution server tool + suggested fix (skip blocks where block.get(caller, {}).get(type, ) contains code_execution). MECHANISM: AnthropicPromptCachingMiddleware "
DSPY-001,dspy,https://github.com/stanfordnlp/dspy/issues/1132,M-retry-loop,"closed Jun 22 2024 by @okhat without merged fix despite documented framework-side mechanism + maintainer acknowledgment. Filed Jun 12 2024 by @hellwigt-eq using HuggingFace TGI. STACK-TRACE-LEVEL MECHANISM: mipro_optimizer.py:459 compile() calls _generate_first_N_candidates which calls _observe_data at :247 with trainset[0:upper_lim].__repr__() -- batch summary step embeds repr of training set into LM call, which can exceed TGI max-input-tokens=8192 validation. Concrete error: ""inputs tokens + m"
LANG-025,langchain,https://github.com/langchain-ai/langchain/issues/11500,M-retry-loop,"with populated user_dollar_loss field; auto-stale-closed Feb 7 2024 as not-planned. CRITICAL CATALOG MILESTONE: FIRST ROW with concrete user_dollar_loss figure populated by reporter -- $120 in 10 minutes. Filed Oct 7 2023 by @yutongp on LangChain 0.0305. REPORTER QUOTABLE COST FRAMING: ""langchain kept retrying on this error definetly more than the default 6 times, I had 14 retry log from langchain in my terminal. I think this is a quite critical bug, my OpenAI usage limit blew up the $120 limit "
LANG-026,langchain,https://github.com/langchain-ai/langchain/issues/29843,M-retry-loop,"auto-stale-closed May 26 2025 as not-planned without ChatFireworks fix. Filed Feb 17 2025 by @aimestereo. SOURCE-LINE-LEVEL TRACE through wrapping layers: ChatFireworks accepts max_retries parameter (per documented example in body) -> passes to Fireworks(BaseFireworks) and AsyncFireworks(BaseFireworks) client wrappers -> client wrappers DO NOT pass it to actual FireworksClient/ImageInference(FireworksClient) clients -> FireworksClient has ZERO retry logic at all. REPORTER QUOTABLE: ""Class ChatFi"
LANG-027,langchain,https://github.com/langchain-ai/langchain/issues/30362,M-retry-loop,"with strongest fix-shipped-immediately-regressed evidence in catalog at source-line + commit-reference level. Filed Mar 19 2025 by @amarion35; closed Mar 27 2025 by Collaborator @ccurme via PR #30448 (commit 63673b7) -- 8-day filing-to-merge with reporter+contributor handoff. SOURCE-LINE-LEVEL EVIDENCE: langchain/libs/partners/mistralai/langchain_mistralai/chat_models.py:460 shows ""# retry_decorator = _create_retry_decorator(self, run_manager=run_manager)"" -- commented-out retry decorator. REGRE"
MAST-016,mastra,https://github.com/mastra-ai/mastra/issues/5715,M-retry-loop,"closed Jul 9 2025 by @taofeeq-deru via PR #5749 -- 2-day filing-to-merge. Filed Jul 7 2025 by Member @abhiaiyer91 (Mastra Member/founder). MAINTAINER-FILES-OWN-FRAMEWORK-BUG PATTERN: this is the SECOND case where Mastra Member @abhiaiyer91 himself files an issue about Mastra own implementation gap (first was MAST-002 Token / Cost Usage Tracking?). Reporter inspected code FIRST then filed: ""Browsing through the code, it does seem like the retries property is still respected. However, I cannot fin"
CRAI-007,crewai,https://github.com/crewAIInc/crewAI/issues/1606,M-cost-observability,"AUTO-STALE-CLOSED Jan 9 2025 as not planned by github-actions stale-bot (8 weeks filing-to-close). RENUMBERED FROM ORIGINAL PASTE (was ""CRAI-002"" but ID collision; renumbered to CRAI-007). Filed Nov 14 2024 by @gergirod tagged bug + no-issue-activity. CONCRETE EVIDENCE: Reporter shows full Crew with 2 agents (researcher + info-gatherer) on gpt-4o-mini + crewAI 0.80.0 producing total_tokens=0 prompt_tokens=0 cached_prompt_tokens=0 completion_tokens=0 successful_requests=0 despite output being cor"
LANG-031,langchain,https://github.com/langchain-ai/langchain/issues/9535,M-retry-loop,"with GOLD-STANDARD EXACT-INTRODUCING-PR archaeological evidence. AUTO-STALE-CLOSED Nov 27 2023 by @dosubot (3 months filing-to-close). Filed Aug 21 2023 by @Und3rf10w tagged area: agent + bug. STRONGEST ARCHAEOLOGY IN CATALOG (surpasses LANG-027 53ac1eb commit reference and CRAI-011 efe27bd commit reference): Reporter quotable from issue body: ""This regression affects Langchain >=0.0.262. This regression was introduced with #8965."" Reporter pinpoints THREE archaeological data points: (a) exact v"
LANG-033,langchain,https://github.com/langchain-ai/langchain/issues/34613,providerOptions-silently-dropped,"with FUNCTIONAL-REGRESSION-VIA-DEPRECATION-REDIRECT pattern (NEW SUB-SHAPE). OPEN at fetch tagged bug + core + groq + langchain. Filed Jan 6 2026 by @AmazyanAyoub. Reporter quotable: ""Following the deprecation warning effectively breaks production streaming features, downgrading the agent from real-time token streaming to step-based buffering."" CONCRETE MIGRATION-CAUSED-REGRESSION: Reporter uses langgraph.prebuilt.create_react_agent (works with stream_mode=messages token-streaming); IDE Pylance "
LANG-034,langchain,https://github.com/langchain-ai/langchain/issues/35059,providerOptions-silently-dropped,"with CASCADING-FIX-ATTEMPTS-WITHOUT-MERGED-RESOLUTION pattern. Closed Feb 17 2026 by Member @mdrxy as completed via duplicate-reference: ""Closing, please refer to #34328"" -- closure-by-duplicate-reference pattern. Filed Feb 7 2026 by @vivekjainmaiet tagged openai + external + bug. Reporter quotable: ""When using ChatOpenAI to interact with OpenAI-compatible providers (specifically vLLM and DeepSeek) that return reasoning/thought process data, the reasoning_content field is silently dropped. Even "
LANG-037,langchain,https://github.com/langchain-ai/langchain/issues/32252,M-multimodal-cost-amplification,"with EXTREME-CASCADING-FIX-ATTEMPTS pattern (12+ PRs over 7 months NONE merged) + CLOSED-AS-NOT-PLANNED-DESPITE-MASSIVE-COMMUNITY-FIX-EFFORT. Filed Jul 26 2025 by @escon1004 tagged bug. CLOSED Mar 2 2026 by Member @mdrxy as not planned (~7 months filing-to-close) deflecting to umbrella issue: ""Putting this complexity into ChatOpenAI to handle a non-OpenAI provider is not warranted. See #34328."" Reporter shows THREE-WAY COMPARISON: (1) langchain_openai.ChatOpenAI raises TypeError: ""Received respo"
