prompt_id,category,depth,prompt
prereg-015,source_code,,"def fibonacci(n: int) -> int:
    if n < 2: return n
    a, b = 0, 1
    for _ in range(n): a, b = b, a + b
    return a

impl<T: Send + Sync> Budget<T> {
    pub fn spend(self, amount: u64) -> Result<Self, Error> {
        let new_avail = self.available.checked_sub(amount)?;
        Ok(Budget { available: new_avail, ..self })
    }
}"
prereg-016,source_code,,"async function fetchWithBudget(url, budget) {
    if (budget.available < estimateCost(url)) {
        throw new Error('Budget would be exceeded');
    }
    return await fetch(url);
}

impl<T: Send + Sync> Budget<T> {
    pub fn spend(self, amount: u64) -> Result<Self, Error> {
        let new_avail = self.available.checked_sub(amount)?;
        Ok(Budget { available: new_avail, ..self })
    }
}"
prereg-017,source_code,,"async function fetchWithBudget(url, budget) {
    if (budget.available < estimateCost(url)) {
        throw new Error('Budget would be exceeded');
    }
    return await fetch(url);
}

def fibonacci(n: int) -> int:
    if n < 2: return n
    a, b = 0, 1
    for _ in range(n): a, b = b, a + b
    return a"
prereg-018,source_code,,"async function fetchWithBudget(url, budget) {
    if (budget.available < estimateCost(url)) {
        throw new Error('Budget would be exceeded');
    }
    return await fetch(url);
}

def fibonacci(n: int) -> int:
    if n < 2: return n
    a, b = 0, 1
    for _ in range(n): a, b = b, a + b
    return a"
prereg-019,source_code,,"def fibonacci(n: int) -> int:
    if n < 2: return n
    a, b = 0, 1
    for _ in range(n): a, b = b, a + b
    return a

async function fetchWithBudget(url, budget) {
    if (budget.available < estimateCost(url)) {
        throw new Error('Budget would be exceeded');
    }
    return await fetch(url);
}"
prereg-020,source_code,,"impl<T: Send + Sync> Budget<T> {
    pub fn spend(self, amount: u64) -> Result<Self, Error> {
        let new_avail = self.available.checked_sub(amount)?;
        Ok(Budget { available: new_avail, ..self })
    }
}

def fibonacci(n: int) -> int:
    if n < 2: return n
    a, b = 0, 1
    for _ in range(n): a, b = b, a + b
    return a"
prereg-021,source_code,,"def fibonacci(n: int) -> int:
    if n < 2: return n
    a, b = 0, 1
    for _ in range(n): a, b = b, a + b
    return a

async function fetchWithBudget(url, budget) {
    if (budget.available < estimateCost(url)) {
        throw new Error('Budget would be exceeded');
    }
    return await fetch(url);
}"
prereg-022,source_code,,"impl<T: Send + Sync> Budget<T> {
    pub fn spend(self, amount: u64) -> Result<Self, Error> {
        let new_avail = self.available.checked_sub(amount)?;
        Ok(Budget { available: new_avail, ..self })
    }
}

async function fetchWithBudget(url, budget) {
    if (budget.available < estimateCost(url)) {
        throw new Error('Budget would be exceeded');
    }
    return await fetch(url);
}"
prereg-023,source_code,,"impl<T: Send + Sync> Budget<T> {
    pub fn spend(self, amount: u64) -> Result<Self, Error> {
        let new_avail = self.available.checked_sub(amount)?;
        Ok(Budget { available: new_avail, ..self })
    }
}

async function fetchWithBudget(url, budget) {
    if (budget.available < estimateCost(url)) {
        throw new Error('Budget would be exceeded');
    }
    return await fetch(url);
}"
prereg-024,source_code,,"def fibonacci(n: int) -> int:
    if n < 2: return n
    a, b = 0, 1
    for _ in range(n): a, b = b, a + b
    return a

impl<T: Send + Sync> Budget<T> {
    pub fn spend(self, amount: u64) -> Result<Self, Error> {
        let new_avail = self.available.checked_sub(amount)?;
        Ok(Budget { available: new_avail, ..self })
    }
}"
prereg-025,math_unicode,,"∫₀^∞ e^(-x²) dx = √π/2, the Gaussian integral evaluated via polar. ∑_{i=1}^{n} i² = n(n+1)(2n+1)/6, by induction on n ∈ ℕ. α ⊗ (β ⊕ γ) = (α ⊗ β) ⊕ (α ⊗ γ) in any distributive lattice."
prereg-026,math_unicode,,"∫₀^∞ e^(-x²) dx = √π/2, the Gaussian integral evaluated via polar. ∀ε>0 ∃δ>0 such that |x-a|<δ ⟹ |f(x)-f(a)|<ε. This is the ε-δ definition. α ⊗ (β ⊕ γ) = (α ⊗ β) ⊕ (α ⊗ γ) in any distributive lattice."
prereg-027,math_unicode,,"∑_{i=1}^{n} i² = n(n+1)(2n+1)/6, by induction on n ∈ ℕ. α ⊗ (β ⊕ γ) = (α ⊗ β) ⊕ (α ⊗ γ) in any distributive lattice. ∀ε>0 ∃δ>0 such that |x-a|<δ ⟹ |f(x)-f(a)|<ε. This is the ε-δ definition."
prereg-028,math_unicode,,"Let G = (V, E) be a graph. ∀v ∈ V, deg(v) = |{u : (u,v) ∈ E}|. α ⊗ (β ⊕ γ) = (α ⊗ β) ⊕ (α ⊗ γ) in any distributive lattice. ∑_{i=1}^{n} i² = n(n+1)(2n+1)/6, by induction on n ∈ ℕ."
prereg-029,math_unicode,,"α ⊗ (β ⊕ γ) = (α ⊗ β) ⊕ (α ⊗ γ) in any distributive lattice. ∑_{i=1}^{n} i² = n(n+1)(2n+1)/6, by induction on n ∈ ℕ. ∫₀^∞ e^(-x²) dx = √π/2, the Gaussian integral evaluated via polar."
prereg-030,math_unicode,,"∫₀^∞ e^(-x²) dx = √π/2, the Gaussian integral evaluated via polar. ∀ε>0 ∃δ>0 such that |x-a|<δ ⟹ |f(x)-f(a)|<ε. This is the ε-δ definition. Let G = (V, E) be a graph. ∀v ∈ V, deg(v) = |{u : (u,v) ∈ E}|."
prereg-031,math_unicode,,"∀ε>0 ∃δ>0 such that |x-a|<δ ⟹ |f(x)-f(a)|<ε. This is the ε-δ definition. ∫₀^∞ e^(-x²) dx = √π/2, the Gaussian integral evaluated via polar. ∑_{i=1}^{n} i² = n(n+1)(2n+1)/6, by induction on n ∈ ℕ."
prereg-032,math_unicode,,"∫₀^∞ e^(-x²) dx = √π/2, the Gaussian integral evaluated via polar. ∀ε>0 ∃δ>0 such that |x-a|<δ ⟹ |f(x)-f(a)|<ε. This is the ε-δ definition. Let G = (V, E) be a graph. ∀v ∈ V, deg(v) = |{u : (u,v) ∈ E}|."
prereg-033,math_unicode,,"α ⊗ (β ⊕ γ) = (α ⊗ β) ⊕ (α ⊗ γ) in any distributive lattice. ∫₀^∞ e^(-x²) dx = √π/2, the Gaussian integral evaluated via polar. ∀ε>0 ∃δ>0 such that |x-a|<δ ⟹ |f(x)-f(a)|<ε. This is the ε-δ definition."
prereg-034,math_unicode,,"Let G = (V, E) be a graph. ∀v ∈ V, deg(v) = |{u : (u,v) ∈ E}|. α ⊗ (β ⊕ γ) = (α ⊗ β) ⊕ (α ⊗ γ) in any distributive lattice. ∫₀^∞ e^(-x²) dx = √π/2, the Gaussian integral evaluated via polar."
prereg-035,base64_dense,,U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz then iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg==
prereg-036,base64_dense,,eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0= then iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg==
prereg-037,base64_dense,,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAxMCAxMCI+PC9zdmc+ then eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0=
prereg-038,base64_dense,,eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0= then U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz
prereg-039,base64_dense,,U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz then eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0=
prereg-040,base64_dense,,U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz then PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAxMCAxMCI+PC9zdmc+
prereg-041,base64_dense,,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAxMCAxMCI+PC9zdmc+ then iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg==
prereg-042,base64_dense,,U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz then iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg==
prereg-043,base64_dense,,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg== then U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz
prereg-044,base64_dense,,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAxMCAxMCI+PC9zdmc+ then eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0=
prereg-045,base64_dense,,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAxMCAxMCI+PC9zdmc+ then eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0=
prereg-046,base64_dense,,U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz then eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0=
prereg-047,base64_dense,,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAADUlEQVR42mNk+M9QDwADhgGAWjR9awAAAABJRU5ErkJggg== then PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAxMCAxMCI+PC9zdmc+
prereg-048,base64_dense,,U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz then eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0=
prereg-049,base64_dense,,U28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVzU28gdGhlIHJlYWwgcXVlc3Rpb24gaXMgd2hldGhlciB0aGUgYnl0ZS1sZW5ndGggZXN0aW1hdG9yIGNvcnJlY3RseSBoYW5kbGVz then eyJ0eXBlIjoiaHR0cHMiLCJtZXRob2QiOiJQT1NUIiwicGF0aCI6Ii9hcGkvdjEvYnVkZ2V0In0=
prereg-050,mixed_script,,User asked: 'why is my code قطع الكلمات returning wrong results in 한국어 environments?' The function 函数 returns an Error<T> when the budget الميزانية is exceeded.
prereg-051,mixed_script,,"Stack trace from λ-calculus interpreter: TypeError at Δ-rule: expected ⊥, got Γ. The function 函数 returns an Error<T> when the budget الميزانية is exceeded."
prereg-052,mixed_script,,"Stack trace from λ-calculus interpreter: TypeError at Δ-rule: expected ⊥, got Γ. User asked: 'why is my code قطع الكلمات returning wrong results in 한국어 environments?'"
prereg-053,mixed_script,,"Stack trace from λ-calculus interpreter: TypeError at Δ-rule: expected ⊥, got Γ. User asked: 'why is my code قطع الكلمات returning wrong results in 한국어 environments?'"
prereg-054,mixed_script,,The function 函数 returns an Error<T> when the budget الميزانية is exceeded. User asked: 'why is my code قطع الكلمات returning wrong results in 한국어 environments?'
prereg-055,mixed_script,,User asked: 'why is my code قطع الكلمات returning wrong results in 한국어 environments?' The function 函数 returns an Error<T> when the budget الميزانية is exceeded.
prereg-056,mixed_script,,User asked: 'why is my code قطع الكلمات returning wrong results in 한국어 environments?' The function 函数 returns an Error<T> when the budget الميزانية is exceeded.
prereg-057,mixed_script,,"Stack trace from λ-calculus interpreter: TypeError at Δ-rule: expected ⊥, got Γ. User asked: 'why is my code قطع الكلمات returning wrong results in 한국어 environments?'"
prereg-058,mixed_script,,"Stack trace from λ-calculus interpreter: TypeError at Δ-rule: expected ⊥, got Γ. The function 函数 returns an Error<T> when the budget الميزانية is exceeded."
prereg-059,mixed_script,,"Stack trace from λ-calculus interpreter: TypeError at Δ-rule: expected ⊥, got Γ. The function 函数 returns an Error<T> when the budget الميزانية is exceeded."
prereg-060,rtl_mixed,,"Mixing English with עברית and العربية within a single sentence stresses tokenizers. שלום עולם, זוהי בדיקה של טקסט בעברית עם תוכן מורכב לבדיקת הסבילות."
prereg-061,rtl_mixed,,Mixing English with עברית and العربية within a single sentence stresses tokenizers. السلام عليكم. هذا اختبار للنص العربي بطول كافٍ لإثارة فروقات في عد الرموز.
prereg-062,rtl_mixed,,"السلام عليكم. هذا اختبار للنص العربي بطول كافٍ لإثارة فروقات في عد الرموز. שלום עולם, זוהי בדיקה של טקסט בעברית עם תוכן מורכב לבדיקת הסבילות."
prereg-063,rtl_mixed,,السلام عليكم. هذا اختبار للنص العربي بطول كافٍ لإثارة فروقات في عد الرموز. Mixing English with עברית and العربية within a single sentence stresses tokenizers.
prereg-064,rtl_mixed,,"Mixing English with עברית and العربية within a single sentence stresses tokenizers. שלום עולם, זוהי בדיקה של טקסט בעברית עם תוכן מורכב לבדיקת הסבילות."
prereg-065,rtl_mixed,,"שלום עולם, זוהי בדיקה של טקסט בעברית עם תוכן מורכב לבדיקת הסבילות. السلام عليكم. هذا اختبار للنص العربي بطول كافٍ لإثارة فروقات في عد الرموز."
prereg-066,rtl_mixed,,"السلام عليكم. هذا اختبار للنص العربي بطول كافٍ لإثارة فروقات في عد الرموز. שלום עולם, זוהי בדיקה של טקסט בעברית עם תוכן מורכב לבדיקת הסבילות."
prereg-067,rtl_mixed,,"שלום עולם, זוהי בדיקה של טקסט בעברית עם תוכן מורכב לבדיקת הסבילות. السلام عليكم. هذا اختبار للنص العربي بطول كافٍ لإثارة فروقات في عد الرموز."
prereg-068,rtl_mixed,,السلام عليكم. هذا اختبار للنص العربي بطول كافٍ لإثارة فروقات في عد الرموز. Mixing English with עברית and العربية within a single sentence stresses tokenizers.
prereg-069,rtl_mixed,,Mixing English with עברית and العربية within a single sentence stresses tokenizers. السلام عليكم. هذا اختبار للنص العربي بطول كافٍ لإثارة فروقات في عد الرموز.
